stim_file,rounds,distance,physical_error_rate,noise_model,code,num_qubits,gates,n_shots,num_detectors,num_observables,dem_entries,correct_decodings,logical_failures,decoder_accuracy,logical_error_rate,logical_error_rate_per_round,low_confidence_rate,mean_syndrome_weight,mean_correction_size,mean_correction_cost,logical_error_rate_ci_low,logical_error_rate_ci_high,decode_time_seconds,shots_per_second
"r=3,d=3,p=0.0005,noise=si1000,c=surface_code_X,q=17,gates=cz.stim",3,3,0.0005,si1000,surface_code_X,17,cz,100000,24,1,333,99935,65,0.99935,0.00065,0.00021676062342301794,0.0,0.33097,0.19424,1.17497511468733,0.0005302557232919549,0.0007967638081589315,6.88699576293584,14520.119285999279
"r=3,d=3,p=0.001,noise=si1000,c=surface_code_X,q=17,gates=cz.stim",3,3,0.001,si1000,surface_code_X,17,cz,100000,24,1,333,99715,285,0.99715,0.00285,0.0009518107376447205,0.0,0.64469,0.3784,2.0274597837723833,0.002585840700177866,0.003141059790581738,11.514423756976612,8684.759403561971
"r=3,d=3,p=0.002,noise=si1000,c=surface_code_X,q=17,gates=cz.stim",3,3,0.002,si1000,surface_code_X,17,cz,100000,24,1,333,98878,1122,0.98878,0.01122,0.003768329262289427,0.0,1.25978,0.74031,3.451067446152016,0.010685206682482688,0.011781240912555991,20.9682300160639,4769.119755143345
"r=5,d=5,p=0.0005,noise=si1000,c=surface_code_X,q=49,gates=cz.stim",5,5,0.0005,si1000,surface_code_X,49,cz,100000,120,1,721,99996,4,0.99996,4e-05,8.000256012274942e-06,0.0,1.86774,0.93916,5.946956649009249,1.7957957767094608e-05,8.909458042092013e-05,93.71953694697004,1067.0133811756207
"r=5,d=5,p=0.001,noise=si1000,c=surface_code_X,q=49,gates=cz.stim",5,5,0.001,si1000,surface_code_X,49,cz,100000,120,1,721,99952,48,0.99952,0.00048,9.603688524795206e-05,0.0,3.67716,1.8633,10.506292002633653,0.0003787857204352196,0.0006082430096145387,191.78735747002065,521.4108026679055
"r=5,d=5,p=0.002,noise=si1000,c=surface_code_X,q=49,gates=cz.stim",5,5,0.002,si1000,surface_code_X,49,cz,100000,120,1,721,99513,487,0.99513,0.00487,0.0009778170325758784,0.0,7.157,3.64769,18.09928601606645,0.004521050193675209,0.0052457409960860344,424.65835079096723,235.4834181730804
"r=7,d=7,p=0.0005,noise=si1000,c=surface_code_X,q=97,gates=cz.stim",7,7,0.0005,si1000,surface_code_X,97,cz,100000,336,1,1554,100000,0,1.0,0.0,0.0,0.0,5.53131,2.62544,16.89333215661515,0.0,2.7054702564219877e-05,409.9557956040371,243.92873834765035
"r=7,d=7,p=0.001,noise=si1000,c=surface_code_X,q=97,gates=cz.stim",7,7,0.001,si1000,surface_code_X,97,cz,100000,336,1,1554,99995,5,0.99995,5e-05,7.143163284262233e-06,0.0,10.8632,5.19447,29.855036661040263,2.4339009275700174e-05,0.00010271298781826328,868.9464559489861,115.08188947130107
"r=7,d=7,p=0.002,noise=si1000,c=surface_code_X,q=97,gates=cz.stim",7,7,0.002,si1000,surface_code_X,97,cz,100000,336,1,1554,99836,164,0.99836,0.00164,0.00023461572334643188,0.0,21.06483,10.18395,51.60981185429386,0.0014425831554217585,0.0018643828077180506,2065.572749209008,48.41272234942781
"r=9,d=9,p=0.0005,noise=si1000,c=surface_code_X,q=161,gates=cz.stim",9,9,0.0005,si1000,surface_code_X,161,cz,100000,720,1,2703,100000,0,1.0,0.0,0.0,0.0,12.2143,5.61723,36.48046066035769,0.0,2.7054702564219877e-05,1148.5540704770247,87.06599242512577
"r=9,d=9,p=0.001,noise=si1000,c=surface_code_X,q=161,gates=cz.stim",9,9,0.001,si1000,surface_code_X,161,cz,100000,720,1,2703,99998,2,0.99998,2e-05,2.2222617294120894e-06,0.0,24.03824,11.11936,64.63427707886083,6.618487622964803e-06,6.043513275315252e-05,2486.1285732309334,40.22318116477845
"r=9,d=9,p=0.002,noise=si1000,c=surface_code_X,q=161,gates=cz.stim",9,9,0.002,si1000,surface_code_X,161,cz,100000,720,1,2703,99875,125,0.99875,0.00125,0.00013904345322862666,0.0,46.57059,21.86374,112.13936544409472,0.0010792160772487242,0.0014477709885590852,6671.77112209308,14.988523762282155
"r=11,d=11,p=0.0005,noise=si1000,c=surface_code_X,q=241,gates=cz.stim",11,11,0.0005,si1000,surface_code_X,241,cz,100000,1320,1,4168,100000,0,1.0,0.0,0.0,0.0,22.89015,10.30712,67.32835733526032,0.0,2.7054702564219877e-05,2612.6413358480204,38.27544126623934
"r=11,d=11,p=0.001,noise=si1000,c=surface_code_X,q=241,gates=cz.stim",11,11,0.001,si1000,surface_code_X,241,cz,100000,1320,1,4168,100000,0,1.0,0.0,0.0,0.0,44.99639,20.4075,119.36648706115545,0.0,2.7054702564219877e-05,5841.145336257061,17.119930123854587
"r=11,d=11,p=0.002,noise=si1000,c=surface_code_X,q=241,gates=cz.stim",11,11,0.002,si1000,surface_code_X,241,cz,100000,1320,1,4168,99869,131,0.99869,0.00131,0.00011923297245203246,0.0,87.09965,40.23806,207.84724626815924,0.0011348725484487813,0.0015121112707947202,18792.678503404022,5.321221239531472
