stim_file,rounds,distance,physical_error_rate,noise_model,code,num_qubits,gates,n_shots,num_detectors,num_observables,dem_entries,correct_decodings,logical_failures,decoder_accuracy,logical_error_rate,logical_error_rate_per_round,low_confidence_rate,mean_syndrome_weight,mean_correction_size,mean_correction_cost,logical_error_rate_ci_low,logical_error_rate_ci_high,decode_time_seconds,shots_per_second
"r=3,d=3,p=0.0005,noise=si1000,c=surface_code_X,q=17,gates=cz.stim",3,3,0.0005,si1000,surface_code_X,17,cz,10000,24,1,333,9988,12,0.9988,0.0012,0.0004003204273505530,0.0,0.3458,0.2027,1.230433094312170,0.0007497747965284670,0.0019200572142290500,0.7158857779577370,13968.708847000400
"r=3,d=3,p=0.001,noise=si1000,c=surface_code_X,q=17,gates=cz.stim",3,3,0.001,si1000,surface_code_X,17,cz,10000,24,1,333,9980,20,0.998,0.002,0.0006675575361471680,0.0,0.6467,0.3827,2.0482729928931100,0.001387689316504090,0.002881709924388540,1.2219984909752400,8183.316161069330
"r=3,d=3,p=0.002,noise=si1000,c=surface_code_X,q=17,gates=cz.stim",3,3,0.002,si1000,surface_code_X,17,cz,10000,24,1,333,9864,136,0.9864,0.0136,0.004575068147931680,0.0,1.2943,0.7528,3.5259312889205400,0.01182215788441820,0.015640966193433600,2.1646486170357100,4619.687427003320
"r=5,d=5,p=0.0005,noise=si1000,c=surface_code_X,q=49,gates=cz.stim",5,5,0.0005,si1000,surface_code_X,49,cz,10000,120,1,721,10000,0,1.0,0.0,0.0,0.0,1.8862,0.9513,6.003074496167130,0.0,0.000270481165554849,9.537329195998610,1048.5115690664700
"r=5,d=5,p=0.001,noise=si1000,c=surface_code_X,q=49,gates=cz.stim",5,5,0.001,si1000,surface_code_X,49,cz,10000,120,1,721,9996,4,0.9996,0.0004,8.0025612294865E-05,0.0,3.6911,1.8686,10.552830786756900,0.00017959061759431100,0.0008906741630280940,19.23565446108110,519.867936920611
"r=5,d=5,p=0.002,noise=si1000,c=surface_code_X,q=49,gates=cz.stim",5,5,0.002,si1000,surface_code_X,49,cz,10000,120,1,721,9954,46,0.9954,0.0046,0.0009234044097137800,0.0,7.1766,3.6534,18.1321303030063,0.003613083791600010,0.005854908947231730,42.96415533404800,232.7521610107220
"r=7,d=7,p=0.0005,noise=si1000,c=surface_code_X,q=97,gates=cz.stim",7,7,0.0005,si1000,surface_code_X,97,cz,10000,336,1,1554,10000,0,1.0,0.0,0.0,0.0,5.5489,2.6338,16.96279349517540,0.0,0.000270481165554849,41.77324112202040,239.38769727706300
"r=7,d=7,p=0.001,noise=si1000,c=surface_code_X,q=97,gates=cz.stim",7,7,0.001,si1000,surface_code_X,97,cz,10000,336,1,1554,10000,0,1.0,0.0,0.0,0.0,10.8502,5.1764,29.798094271100100,0.0,0.000270481165554849,86.23822921898680,115.9578540812420
"r=7,d=7,p=0.002,noise=si1000,c=surface_code_X,q=97,gates=cz.stim",7,7,0.002,si1000,surface_code_X,97,cz,10000,336,1,1554,9983,17,0.9983,0.0017,0.00024321176704977800,0.0,21.107,10.1722,51.58238239680220,0.0011439825703616200,0.0025255789592303500,204.7477953940400,48.840574721475600
"r=9,d=9,p=0.0005,noise=si1000,c=surface_code_X,q=161,gates=cz.stim",9,9,0.0005,si1000,surface_code_X,161,cz,10000,720,1,2703,10000,0,1.0,0.0,0.0,0.0,12.1794,5.6132,36.405001072566500,0.0,0.000270481165554849,115.3779846469410,86.67164737363230
"r=9,d=9,p=0.001,noise=si1000,c=surface_code_X,q=161,gates=cz.stim",9,9,0.001,si1000,surface_code_X,161,cz,10000,720,1,2703,10000,0,1.0,0.0,0.0,0.0,24.0688,11.1425,64.71569163392120,0.0,0.000270481165554849,248.78243840893300,40.195763269924400
"r=9,d=9,p=0.002,noise=si1000,c=surface_code_X,q=161,gates=cz.stim",9,9,0.002,si1000,surface_code_X,161,cz,10000,720,1,2703,9986,14,0.9986,0.0014,0.00015574947776891800,0.0,46.6236,21.9244,112.4452109161700,0.0009053134811190900,0.0021644103371722100,670.8681893009930,14.90605779120250
"r=11,d=11,p=0.0005,noise=si1000,c=surface_code_X,q=241,gates=cz.stim",11,11,0.0005,si1000,surface_code_X,241,cz,10000,1320,1,4168,10000,0,1.0,0.0,0.0,0.0,23.045,10.3767,67.80754655955180,0.0,0.000270481165554849,263.5993508469550,37.93636049508330
"r=11,d=11,p=0.001,noise=si1000,c=surface_code_X,q=241,gates=cz.stim",11,11,0.001,si1000,surface_code_X,241,cz,10000,1320,1,4168,10000,0,1.0,0.0,0.0,0.0,45.2398,20.5041,119.95844134533800,0.0,0.000270481165554849,592.0848972779930,16.88946981416560
"r=11,d=11,p=0.002,noise=si1000,c=surface_code_X,q=241,gates=cz.stim",11,11,0.002,si1000,surface_code_X,241,cz,10000,1320,1,4168,9988,12,0.9988,0.0012,0.00010921009943126700,0.0,86.8149,40.1039,207.19173675603700,0.0007497747965284670,0.0019200572142290500,1838.3907487019900,5.439539992822840
